condition,day,medianCount,sdCount,medianPred,q25,q75
1.47 nM Daco+10.38 nM Osim,0,1000000,0,1000000,1000000,1000000
1.47 nM Daco+10.38 nM Osim,61,615000,85749.63556773872,9774536991,7939090432,11225563168
1.47 nM Daco+10.38 nM Osim,79,4340000,754077.8032360674,3192569863244.5,2593097293169,3666616288277
1.47 nM Daco+10.38 nM Osim,89,28500000,7779674.371934428,79585849092880.5,64641879227105,91403065018677
1.47 nM Daco+10.38 nM Osim,99,191000000,102734285.09184912,1983953334325840.5,1611423038237929,2278538292266879
1.47 nM Daco+5.19 nM Osim,0,1000000,0,1000000,1000000,1000000
1.47 nM Daco+5.19 nM Osim,61,594000,28618.17604250837,52994166494,45648383994,62015497770
1.47 nM Daco+5.19 nM Osim,74,3240000,466082.9682935575,4727385197301,4072072682960,5532153476106
1.47 nM Daco+5.19 nM Osim,85,32400000,1301281.4197295422,211327282503806,182032764201435,247302416789135
1.47 nM Daco+5.19 nM Osim,94,157000000,25534290.66960741,4734010083302092,4077774316985815,5539900355955802
2.94 nM Daco+20.75 nM Osim,0,1000000,0,1000000,1000000,1000000
2.94 nM Daco+20.75 nM Osim,58,537000,39949.96871087636,74590524.5,56344381,94074987
2.94 nM Daco+20.75 nM Osim,68,2880000,276224.5463386627,1016886653.5,768146806,1282354934
2.94 nM Daco+20.75 nM Osim,77,17800000,3629508.6903509866,10674145530.5,8063565402,13462394036
2.94 nM Daco+20.75 nM Osim,86,173000000,23860706.890897706,112053353327,84648400604,141324403484
2.94 nM Daco+5.19 nM Osim,0,1000000,0,1000000,1000000,1000000
2.94 nM Daco+5.19 nM Osim,61,693000,78249.60063795853,24225389864,18796229055,29222066021
2.94 nM Daco+5.19 nM Osim,72,7420000,471274.86671792716,1005704983230.5,780323897192,1213151636961
2.94 nM Daco+5.19 nM Osim,77,32900000,1931320.7915827965,5470375131567.5,4244464795625,6598736483353
2.94 nM Daco+5.19 nM Osim,82,273000000,19078784.028338913,29755217407757,23087078463219,35892783656431
4.40 nM Daco+10.38 nM Osim,0,1000000,0,1000000,1000000,1000000
4.40 nM Daco+10.38 nM Osim,61,534000,81957.30595865143,89209110,64784334,106498569
4.40 nM Daco+10.38 nM Osim,79,3690000,766289.7624267207,8536155449,6203178198,10194784257
4.40 nM Daco+10.38 nM Osim,89,33200000,6255397.669213365,107586662062.5,78185398321,128492967298
4.40 nM Daco+10.38 nM Osim,102,203000000,47507894.08087881,2900007894411,2107499239090,3463547424388
Daco 4.40 nM,0,1000000,0,1000000,1000000,1000000
Daco 4.40 nM,30,5490000,351567.9166249389,3530625.5,3134612,3845771
Daco 4.40 nM,34,35600000,2218858.565419016,12811839.5,11150827,14155228
Daco 4.40 nM,37,143000000,7505553.499465135,36520032,31615448,40458570
Osimertinib 10.38 nM,0,1000000,0,1000000,1000000,1000000
Osimertinib 10.38 nM,9,4260000,90000,14149740,14136468,14157545
Osimertinib 10.38 nM,21,34200000,1069267.6621563626,484703405,484251348,485102450
Osimertinib 10.38 nM,28,211000000,11930353.445448855,3811491166.5,3807754175,3814892222
Vehicle(DMSO),0,1000000,0,1000000,1000000,1000000
Vehicle(DMSO),3,3780000,150996.688705415,5935894.5,5932381,5943730
Vehicle(DMSO),6,22900000,1039230.4845413264,35245696.5,35221400,35286076
Vehicle(DMSO),9,143000000,11060440.015358038,209272785,209063916,209532876
Vehicle(DMSO),1,NA,NA,1810507,1809821,1812090
Vehicle(DMSO),2,NA,NA,3278861,3276692,3281531
Vehicle(DMSO),4,NA,NA,10749165.5,10742052,10760763
Vehicle(DMSO),5,NA,NA,19464603.5,19450995,19486507
Vehicle(DMSO),7,NA,NA,63826161.5,63771145,63899208
Vehicle(DMSO),8,NA,NA,115568415.5,115466196,115722319
Daco 4.40 nM,1,NA,NA,984704,984268,985067
Daco 4.40 nM,2,NA,NA,969311.5,968925,969628
Daco 4.40 nM,3,NA,NA,954259,953668,954977
Daco 4.40 nM,4,NA,NA,939528,938843,940231
Daco 4.40 nM,5,NA,NA,924779,924045,925590
Daco 4.40 nM,6,NA,NA,910934,909914,911898
Daco 4.40 nM,7,NA,NA,896886.5,895439,897938
Daco 4.40 nM,8,NA,NA,883374,881730,884208
Daco 4.40 nM,9,NA,NA,870312,868402,871050
Daco 4.40 nM,10,NA,NA,857541.5,855631,858610
Daco 4.40 nM,11,NA,NA,845098,843147,846300
Daco 4.40 nM,12,NA,NA,833179,831497,834958
Daco 4.40 nM,13,NA,NA,822264,820457,824089
Daco 4.40 nM,14,NA,NA,812622.5,810284,814264
Daco 4.40 nM,15,NA,NA,803808.5,801623,806180
Daco 4.40 nM,16,NA,NA,797085,793948,800529
Daco 4.40 nM,17,NA,NA,793160.5,788544,797400
Daco 4.40 nM,18,NA,NA,793173.5,787157,797756
Daco 4.40 nM,19,NA,NA,798465,790939,804790
Daco 4.40 nM,20,NA,NA,811775.5,800184,819811
Daco 4.40 nM,21,NA,NA,834441.5,819345,847059
Daco 4.40 nM,22,NA,NA,872827.5,850830,890571
Daco 4.40 nM,23,NA,NA,933107,900775,958053
Daco 4.40 nM,24,NA,NA,1023250,979074,1058730
Daco 4.40 nM,25,NA,NA,1157661,1092780,1209531
Daco 4.40 nM,26,NA,NA,1355743,1260022,1428797
Daco 4.40 nM,27,NA,NA,1644292,1508364,1748806
Daco 4.40 nM,28,NA,NA,2061070.5,1866576,2211783
Daco 4.40 nM,29,NA,NA,2663173,2387868,2881569
Daco 4.40 nM,31,NA,NA,4777125.5,4210975,5227502
Daco 4.40 nM,32,NA,NA,6567026,5756955,7215070
Daco 4.40 nM,33,NA,NA,9134767.5,7975745,10068624
Daco 4.40 nM,35,NA,NA,18092560,15712690,20011833
Daco 4.40 nM,36,NA,NA,25662888.5,22250832,28414450
Osimertinib 10.38 nM,1,NA,NA,1342322,1341848,1343034
Osimertinib 10.38 nM,2,NA,NA,1802137.5,1800931,1803125
Osimertinib 10.38 nM,3,NA,NA,2418822,2417244,2420579
Osimertinib 10.38 nM,4,NA,NA,3245865,3244005,3248522
Osimertinib 10.38 nM,5,NA,NA,4357232,4354239,4361171
Osimertinib 10.38 nM,6,NA,NA,5848614,5843931,5853458
Osimertinib 10.38 nM,7,NA,NA,7851664,7844920,7858350
Osimertinib 10.38 nM,8,NA,NA,10540467.5,10530732,10548028
Osimertinib 10.38 nM,10,NA,NA,18993750,18978150,19004170
Osimertinib 10.38 nM,11,NA,NA,25497683.5,25474564,25514255
Osimertinib 10.38 nM,12,NA,NA,34229324,34197733,34254760
Osimertinib 10.38 nM,13,NA,NA,45942664.5,45910593,45978487
Osimertinib 10.38 nM,14,NA,NA,61676639,61625757,61719449
Osimertinib 10.38 nM,15,NA,NA,82796598.5,82729246,82855292
Osimertinib 10.38 nM,16,NA,NA,111152967.5,111055228,111243835
Osimertinib 10.38 nM,17,NA,NA,149220699.5,149077079,149346459
Osimertinib 10.38 nM,18,NA,NA,200324715.5,200130838,200479208
Osimertinib 10.38 nM,19,NA,NA,268939613,268663402,269152335
Osimertinib 10.38 nM,20,NA,NA,361054933,360687506,361357116
Osimertinib 10.38 nM,22,NA,NA,650740772,650082825,651269271
Osimertinib 10.38 nM,23,NA,NA,873660342,872792085,874387331
Osimertinib 10.38 nM,24,NA,NA,1172936360.5,1171758549,1173932865
Osimertinib 10.38 nM,25,NA,NA,1574781588.5,1573160175,1576105902
Osimertinib 10.38 nM,26,NA,NA,2114346085,2112203136,2116183748
Osimertinib 10.38 nM,27,NA,NA,2838776840.5,2835985353,2841212845
1.47 nM Daco+5.19 nM Osim,1,NA,NA,975065,974742,975258
1.47 nM Daco+5.19 nM Osim,2,NA,NA,950815,950295,951102
1.47 nM Daco+5.19 nM Osim,3,NA,NA,927229.5,926539,927785
1.47 nM Daco+5.19 nM Osim,4,NA,NA,903945.5,903138,904890
1.47 nM Daco+5.19 nM Osim,5,NA,NA,881641.5,880735,882587
1.47 nM Daco+5.19 nM Osim,6,NA,NA,859827.5,858533,861186
1.47 nM Daco+5.19 nM Osim,7,NA,NA,838591,837353,839419
1.47 nM Daco+5.19 nM Osim,8,NA,NA,817786,816799,819059
1.47 nM Daco+5.19 nM Osim,9,NA,NA,797734,796613,799087
1.47 nM Daco+5.19 nM Osim,10,NA,NA,778413.5,777314,779325
1.47 nM Daco+5.19 nM Osim,11,NA,NA,759382,758127,760701
1.47 nM Daco+5.19 nM Osim,12,NA,NA,741166.5,740066,741937
1.47 nM Daco+5.19 nM Osim,13,NA,NA,723737.5,722557,724999
1.47 nM Daco+5.19 nM Osim,14,NA,NA,707108,705730,708618
1.47 nM Daco+5.19 nM Osim,15,NA,NA,691979,689539,693726
1.47 nM Daco+5.19 nM Osim,16,NA,NA,677726,675209,680027
1.47 nM Daco+5.19 nM Osim,17,NA,NA,665162,661974,666862
1.47 nM Daco+5.19 nM Osim,18,NA,NA,654428.5,650752,656855
1.47 nM Daco+5.19 nM Osim,19,NA,NA,646453.5,641822,649395
1.47 nM Daco+5.19 nM Osim,20,NA,NA,642276.5,635809,646268
1.47 nM Daco+5.19 nM Osim,21,NA,NA,643357,633721,649758
1.47 nM Daco+5.19 nM Osim,22,NA,NA,650508.5,638927,660612
1.47 nM Daco+5.19 nM Osim,23,NA,NA,666804.5,650158,682782
1.47 nM Daco+5.19 nM Osim,24,NA,NA,696167,674004,720186
1.47 nM Daco+5.19 nM Osim,25,NA,NA,744431,714502,778893
1.47 nM Daco+5.19 nM Osim,26,NA,NA,818404,776544,868017
1.47 nM Daco+5.19 nM Osim,27,NA,NA,928446.5,869186,998620
1.47 nM Daco+5.19 nM Osim,28,NA,NA,1089815,1004930,1190140
1.47 nM Daco+5.19 nM Osim,29,NA,NA,1322048.5,1203073,1462961
1.47 nM Daco+5.19 nM Osim,30,NA,NA,1654753,1486846,1855745
1.47 nM Daco+5.19 nM Osim,31,NA,NA,2131042.5,1895236,2415740
1.47 nM Daco+5.19 nM Osim,32,NA,NA,2809808,2475852,3212272
1.47 nM Daco+5.19 nM Osim,33,NA,NA,3770911.5,3306181,4344108
1.47 nM Daco+5.19 nM Osim,34,NA,NA,5137528.5,4481312,5948398
1.47 nM Daco+5.19 nM Osim,35,NA,NA,7073218.5,6144724,8213618
1.47 nM Daco+5.19 nM Osim,36,NA,NA,9813804.5,8504604,11415846
1.47 nM Daco+5.19 nM Osim,37,NA,NA,13681033,11836505,15948793
1.47 nM Daco+5.19 nM Osim,38,NA,NA,19152165.5,16548303,22358938
1.47 nM Daco+5.19 nM Osim,39,NA,NA,26889091.5,23211186,31414520
1.47 nM Daco+5.19 nM Osim,40,NA,NA,37823836.5,32622429,44209760
1.47 nM Daco+5.19 nM Osim,41,NA,NA,53265333.5,45921467,62281921
1.47 nM Daco+5.19 nM Osim,42,NA,NA,75104245,64716242,87834591
1.47 nM Daco+5.19 nM Osim,43,NA,NA,105935849,91279364,123922906
1.47 nM Daco+5.19 nM Osim,44,NA,NA,149489363,128815357,174890085
1.47 nM Daco+5.19 nM Osim,45,NA,NA,211028020,181838514,246899247
1.47 nM Daco+5.19 nM Osim,46,NA,NA,297973367.5,256743527,348649647
1.47 nM Daco+5.19 nM Osim,47,NA,NA,420818577,362531028,492354968
1.47 nM Daco+5.19 nM Osim,48,NA,NA,594351849,511970295,695416372
1.47 nM Daco+5.19 nM Osim,49,NA,NA,839521674.5,723136334,982266488
1.47 nM Daco+5.19 nM Osim,50,NA,NA,1185814153,1021382957,1387499147
1.47 nM Daco+5.19 nM Osim,51,NA,NA,1675007317,1442619101,1959926837
1.47 nM Daco+5.19 nM Osim,52,NA,NA,2366028075,2037882741,2768560840
1.47 nM Daco+5.19 nM Osim,53,NA,NA,3342185995.5,2878809439,3910999215
1.47 nM Daco+5.19 nM Osim,54,NA,NA,4721151082.5,4066573365,5524731992
1.47 nM Daco+5.19 nM Osim,55,NA,NA,6669177374,5744436985,7804352399
1.47 nM Daco+5.19 nM Osim,56,NA,NA,9420841194.5,8114796591,11024596319
1.47 nM Daco+5.19 nM Osim,57,NA,NA,13307984894,11463288190,15573522348
1.47 nM Daco+5.19 nM Osim,58,NA,NA,18799330289,16193509259,21999527162
1.47 nM Daco+5.19 nM Osim,59,NA,NA,26556388613,22875293385,31077251693
1.47 nM Daco+5.19 nM Osim,60,NA,NA,37514448385,32314466983,43900691690
1.47 nM Daco+5.19 nM Osim,62,NA,NA,74861186288,64484573518,87605288543
