1. Day 0 (relative to drug treatment start) read at 2000 cell seeding,,,,,,,,,,,,,,,,
2. Conversion of CTG read to cell number,,,,,,,,,,,,,,,,
3.  Time course on cell number at vehicle control group,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. Day 0 read (plate 1) at 2000 cell seeding,,,,,,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,13,118,105,92,197,79,105,105,105,131,157,13,,,,
B,131,19409,20262,24275,24157,25691,23684,23317,23763,25848,25337,118,,,,
C,118,22347,22543,23225,24760,24734,25770,27068,24970,25481,25402,66,,,,
D,157,25914,24930,29743,28812,24956,27015,27501,25652,27999,27802,66,,,,
E,210,39605,41310,41612,39028,36156,40903,44025,44038,39802,37035,105,,,,
F,92,39474,44943,35723,35068,49651,41494,45389,43120,40930,38674,105,,,,
G,66,38346,46962,37140,44510,40156,45297,43185,39972,50765,43212,118,,,,
H,39,144,197,197,210,144,118,170,157,210,79,0,,,,
,,,,,,,,,,,,,,,,
2. Conversion of CTG read to cell number,,,,,,,,,,,,,,,,
,background,day0,day0-bcknd,CTG/cell,,,,,,,,,,,,
PC9 (2k/well),118,25079,24961,12,,,,,,,,,,,,
PC9-C797S (3k/well),,41584,41466,14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3a.  Time course on cell number at vehicle control group for PC9,,,,,,,,,,,,,,,,
,PC9 (2000 cells/well),time vs. CTG read,,,,,time vs. cell#,,,,,,,,,
,Time (day relative to Rx start),day0,day1,day2,day3,Time (day relative to Rx start),day0,day1,day2,day3,,,,,,
,CTG-Daco1,,55722.75,75856,166299,,,4465,6078,13325,,,,,,
,CTG-Daco2,,44155.75,83554,226061,,,3538,6695,18113,,,,,,
,CTG-Osi,,60080,70276.5,139716.75,,,4814,5631,11195,,,,,,
,CTG-Osi,,48631,94760.5,139099.75,,,3897,7593,11145,,,,,,
,average CTG,24961.2055555556,52147.375,81111.75,167794.125,average cell#,2000,4178,6499,13444,,,,,,
3b.  Time course on cell number at vehicle control group for PC9-C797S,,,,,,,,,,,,,,,,
,PC9-C797S (3000 cells/well),,,,,,time vs. cell#,,,,,,,,,
,Time (day relative to Rx start),day0,day1,day2,day3,Time (day relative to Rx start),day0,day1,day2,day3,,,,,,
,CTG-Daco1,,69866.25,94403.5,139086.75,,,5598,7564,11144,,,,,,
,CTG-Daco2,,66968.25,88685.5,170574.75,,,5366,7106,13667,,,,,,
,CTG-Osi,,74306.25,107353.5,205612.75,,,5954,8602,16475,,,,,,
,CTG-Osi,,93046.25,115680.5,174701.75,,,7455,9269,13998,,,,,,
,average CTG,41466.4722222222,76046.75,101530.75,172494,average cell#,3000,5502,7346,12480,,,,,,
