Result illustration (selected data),,,,,,,,,,,
,,,,,,,,,,,
PC9 Osi titration,,,PC9 Daco titration,,,PC9-C797S Osi titration,,,PC9-C797S Daco titration,,
Treatment ,cell#,,Treatment,cell#,,Treatment,cell#,,Treatment,cell#,
4.1 nM Osi,5473,,0.3 nM Daco,2045,,37 nM Osi,13454,,83 nM Daco,1870,
4.1 nM Osi,6852,,0.3 nM Daco,4297,,37 nM Osi,14535,,83 nM Daco,2855,
Osi+ 0.25 nM Daco,4606,,Daco+ 2.5 nM Osi,3066,,Osi+ 4 nM Daco,11035,,Daco+ 6 nM Osi,3374,
Osi+ 0.25 nM Daco,5157,,Daco+ 2.5 nM Osi,3322,,Osi+ 4 nM Daco,13771,,Daco+ 6 nM Osi,2950,
Osi+ 0.5 nM Daco,3635,,Daco+ 5 nM Osi,3474,,Osi+ 10 nM Daco,8015,,Daco+ 160 nM Osi,3559,
Osi+ 0.5 nM Daco,3555,,Daco+ 5 nM Osi,3725,,Osi+ 10 nM Daco,6467,,Daco+ 160 nM Osi,3095,
Osi+ 1 nM Daco,2857,,Daco+ 10 nM Osi,3743,,Osi+ 250 nM Daco,3743,,Daco+ 1000 nM Osi,3826,
Osi+ 1 nM Daco,2223,,Daco+ 10 nM Osi,2875,,Osi+ 250 nM Daco,3873,,Daco+ 1000 nM Osi,4210,
Vehicle,11195,,Vehicle,13325,,Vehicle,14876,,Vehicle,10063,
Vehicle,11145,,Vehicle,18113,,Vehicle,12639,,Vehicle,12341,
0.25 nM Daco,5376,,2.5 nM Osi,11122,,4 nM Daco,7590,,6 nM Osi,9987,
0.25 nM Daco,4393,,2.5 nM Osi,11905,,4 nM Daco,7607,,6 nM Osi,11738,
,,,,,,,,,160 nM Osi,15160,
,,,,,,,,,160 nM Osi,12648,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
