"PC9 cell seeding vs. CTG read conversion based on ""4/6/18's standarded curve of y = 0.0209x - 2304.1"" does not work   ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4/6/18 formula: y = 0.0209x - 2304.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
current study data and conversion,,,,,,,,,,,,,,
Treatment day,CTG read 24h after PC9 seeding,cell# conversion,,,,,,,,,,,,
,RLU,,,,,,,,,,,,,
day0 drug Rx or 24h after cell seeding,110050,-4,,,,,,,,,,,,
,,"This (-4) is not a valid cell #.  Therefore, standarded curve has to be generated at every experiment.",,,,,,,,,,,,
It might be more reasonable to assume that the cell# at 24h after cell seeding is similar to the number seeded than to use stardard curve calculation unless do it every time,,,,,,,,,,,,,,
4/6/18's PC9 data,,,,,,,,,,,,,,
Treatment day,cell/well,cell seeding/well,,,,,,,,,,,,
day0,1691,2000,,,,,,,,,,,,
day0,1882,2000,,,,,,,,,,,,
,1786,,,,,,,,,,,,,
Estimate PC9 cell# based on cell seeding vs. doubling time?,,,,,,,,,,,,,,
day relative to drug treatment,0,0,0,0,,,,,,,,,,
hr after cell seeding (2000 cells/well),0,0,0,0,,,,,,,,,,
CTG read (Osi plate),0,0,0,0,,,,,,,,,,
CTG read (Osi plate),0,0,0,0,,,,,,,,,,
CTG read (Daco plate),0,0,0,0,,,,,,,,,,
CTG read (daco),0,0,0,0,,,,,,,,,,
CTG average,0,0,0,0,,,,,,,,,,
,,fold of 24h,fold of 24h,fold of 24h,average fold every 24h,,,,,,,,,
,,0.000,0.000,0.000,0.000,0.000,,,,,,,,
,,,,PC9,,,,,,,,,,
,,,,,day0 cell#,day3 cell#,,,,,,,,
PC9 cell# for the control group from day0 to day 3 ,,based on cell doubling estimate:,,,2000,14222,,,,,,,,
,,based on CTG read ratio of day3/day0:,,,2000,,,,,,,,,
,,based on Y=60924e0.00254x,,,2000,?,,,,,,,,
,,,,,,,,,,,,,,
Estimate PC9-DRH cell# based on cell seeding vs. doubling time?,,,,,,,,,,,,,,
day relative to drug treatment,,,,,,,,,,,,,,
hr after cell seeding (3000 cells/well),,,,,,,,,,,,,,
CTG read (Osi plate),,,,,,,,,,,,,,
CTG read (Osi plate),,,,,,,,,,,,,,
CTG read (Daco plate),,,,,,,,,,,,,,
CTG read (daco),,,,,,,,,,,,,,
CTG average,,,,,,,,,,,,,,
,,fold of 24h,fold of 24h,fold of 24h,average fold every 24h,,,,,,,,,
,,,,,,1.427,,,,,,,,
,,,,PC9,,,,,,,,,,
,,,,,day0 cell#,day3 cell#,,,,,,,,
PC9 cell# for the control group from day0 to day 3 ,,based on cell doubling estimate:,,,3000,12300,,,,,,,,
,,based on CTG read ratio of day3/day0:,,,3000,,,,,,,,,
,,based on Y=99046e0.0014x,,,,?,,,,,,,,
