1. Day 0 (relative to drug treatment start) read at 2000 cell seeding,,,,,,,,,,,,,,,,
2. Conversion of CTG read to cell number,,,,,,,,,,,,,,,,
3.  Time course on cell number at vehicle control group,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. Day 0 read (plate 1) at 2000 cell seeding,,,,,,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,0,170,79,131,144,131,118,131,170,105,92,26,,,,
B,197,27042,23920,24655,23816,31002,23973,32104,24288,26412,25874,105,,,,
C,131,23947,21547,26819,23934,25691,26452,23960,22845,23606,22530,118,,,,
D,118,26701,22963,25520,23081,25625,25219,20485,24025,22321,24707,118,,,,
E,157,37651,41428,35094,43566,41651,34464,34858,35330,45625,31055,131,,,,
F,223,45415,41166,48339,41913,42884,39172,41035,44090,42346,39723,249,,,,
G,210,48444,39907,57362,39828,42884,41153,45795,41795,42739,39317,249,,,,
H,39,144,157,275,118,236,131,197,157,157,131,26,,,,
,,,,,,,,,,,,,,,,
2. Conversion of CTG read to cell number,,,,,,,,,,,,,,,,
,background,day0,day0-bcknd,CTG/cell,,,,,,,,,,,,
PC9 (2k/well),141,24835,24695,12,,,,,,,,,,,,
PC9-T790M (3k/well),,41534,41393,14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3a.  Time course on cell number at vehicle control group for PC9,,,,,,,,,,,,,,,,
,PC9 (2000 cells/well),time vs. CTG read,,,,,time vs. cell#,,,,,,,,,
,Time (day relative to Rx start),day0,day1,day2,day3,Time (day relative to Rx start),day0,day1,day2,day3,,,,,,
,CTG-Daco1,,55722.75,75856,166299,,,4513,6144,13468,,,,,,
,CTG-Daco2,,44155.75,83554,226061,,,3576,6767,18309,,,,,,
,CTG-Osi,,60080,70276.5,139716.75,,,4866,5692,11316,,,,,,
,CTG-Osi,,48631,94760.5,139099.75,,,3939,7675,11266,,,,,,
,average CTG,24694.6055555556,52147.375,81111.75,167794.125,average cell#,2000,4223,6569,13590,,,,,,
3b.  Time course on cell number at vehicle control group for PC9-T790M,,,,,,,,,,,,,,,,
,PC9-T790M (3000 cells/well),,,,,,time vs. cell#,,,,,,,,,
,Time (day relative to Rx start),day0,day1,day2,day3,Time (day relative to Rx start),day0,day1,day2,day3,,,,,,
,CTG-Daco1,,89534,131283.75,239208,,,7251,10633,19373,,,,,,
,CTG-Daco2,,92787,166456.75,209347,,,7515,13481,16955,,,,,,
,CTG-Osi,,77793.75,122563,198111,,,6300,9926,16045,,,,,,
,CTG-Osi,,84718.75,145762,217468,,,6861,11805,17613,,,,,,
,average CTG,41393.4388888889,86208.375,141516.375,216033.5,average cell#,3000,6248,10256,15657,,,,,,
