Result illustration (selected data),,,,,,,,,,,
,,,,,,,,,,,
PC9 Osi titration,,,PC9 Daco titration,,,PC9-T790M Osi titration,,,PC9-T790M Daco titration,,
Treatment ,cell#,,Treatment,cell#,,Treatment,cell#,,Treatment,cell#,
4.1 nM Osi,5532,,0.3 nM Daco,2067,,37 nM Osi,3569,,83 nM Daco,10454,
4.1 nM Osi,6926,,0.3 nM Daco,4344,,37 nM Osi,4355,,83 nM Daco,12307,
Osi+ 0.25 nM Daco,4656,,Daco+ 2.5 nM Osi,3099,,Osi+ 4 nM Daco,4526,,Daco+ 6 nM Osi,9216,
Osi+ 0.25 nM Daco,5213,,Daco+ 2.5 nM Osi,3358,,Osi+ 4 nM Daco,4167,,Daco+ 6 nM Osi,9257,
Osi+ 0.5 nM Daco,3675,,Daco+ 5 nM Osi,3511,,Osi+ 10 nM Daco,3814,,Daco+ 160 nM Osi,4574,
Osi+ 0.5 nM Daco,3593,,Daco+ 5 nM Osi,3765,,Osi+ 10 nM Daco,4283,,Daco+ 160 nM Osi,3944,
Osi+ 1 nM Daco,2888,,Daco+ 10 nM Osi,3783,,Osi+ 250 nM Daco,5081,,Daco+ 1000 nM Osi,4847,
Osi+ 1 nM Daco,2247,,Daco+ 10 nM Osi,2906,,Osi+ 250 nM Daco,4958,,Daco+ 1000 nM Osi,4680,
Vehicle,11316,,Vehicle,13468,,Vehicle,14358,,Vehicle,17337,
Vehicle,11266,,Vehicle,18309,,Vehicle,15761,,Vehicle,15172,
0.25 nM Daco,5434,,2.5 nM Osi,11242,,4 nM Daco,17521,,6 nM Osi,9135,
0.25 nM Daco,4440,,2.5 nM Osi,12034,,4 nM Daco,15896,,6 nM Osi,10882,
,,,,,,,,,160 nM Osi,4985,
,,,,,,,,,160 nM Osi,3998,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
