Date of measurement: 2018-05-23/Time of measurement: 11:18:47,,,,,,,,,,,,,,Date of measurement: 2018-05-24/Time of measurement: 11:40:01,,,,,,,,,,,,,,Date of measurement: 2018-05-25/Time of measurement: 11:52:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lumi-23052018-002.wsp,,,,,,,,,,,,,,lumi-24052018-002.wsp,,,,,,,,,,,,,,    .wsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARK,,,,,,,,,,,,,,SPARK,,,,,,,,,,,,,,SPARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument serial number: 1704001940,,,,,,,,,,,,,,Instrument serial number: 1704001940,,,,,,,,,,,,,,Instrument serial number: 1704001940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name: COR96fw clear bottom,,,,,,,,,,,,,,Name: COR96fw clear bottom,,,,,,,,,,,,,,Name: COR96fw clear bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate layout:,,,,,,,,,,,,,,Plate layout:,,,,,,,,,,,,,,Plate layout:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate area: A1-H12,,,,,,,,,,,,,,Plate area: A1-H12,,,,,,,,,,,,,,Plate area: A1-H12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Luminescence,,,,,,,,,,,,,,    Luminescence,,,,,,,,,,,,,,    Luminescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Name: Label 1,,,,,,,,,,,,,,    Name: Label 1,,,,,,,,,,,,,,    Name: Label 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Mode: Luminescence,,,,,,,,,,,,,,    Mode: Luminescence,,,,,,,,,,,,,,    Mode: Luminescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Attenuation: Automatic,,,,,,,,,,,,,,    Attenuation: Automatic,,,,,,,,,,,,,,    Attenuation: Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Settle time: 0 ms,,,,,,,,,,,,,,    Settle time: 0 ms,,,,,,,,,,,,,,    Settle time: 0 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    IntegrationTime: 100 ms,,,,,,,,,,,,,,    IntegrationTime: 100 ms,,,,,,,,,,,,,,    IntegrationTime: 100 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Output: Counts / s,,,,,,,,,,,,,,    Output: Counts / s,,,,,,,,,,,,,,    Output: Counts / s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Mode: Move plate,,,,,,,,,,,,,,    Mode: Move plate,,,,,,,,,,,,,,    Mode: Move plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Movement: Out,,,,,,,,,,,,,,    Movement: Out,,,,,,,,,,,,,,    Movement: Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meas. temperature: Raw data: 25.8 °C,,,,,,,,,,,,,,Meas. temperature: Raw data: 26.0 °C,,,,,,,,,,,,,,Meas. temperature: Raw data: 25.4 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: 2018-05-23, Time: 11:18:47",,,,,,,,,,,,,,"Date: 2018-05-24, Time: 11:40:01",,,,,,,,,,,,,,"Date: 2018-05-25, Time: 11:52:51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osi nM,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,no Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,no Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,with 0.25 nM Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,with 0.25 nM Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,with 0.5 nM Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,with 0.5 nM Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,with 1 nM Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,with 1 nM Daco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day1,,,,,,,,,,,,,,Day2,,,,,,,,,,,,,,day3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<>,,,,,,,,,,,,,,<>,,,,,,,,,,,,,,<>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,81730,81266,81579,84979,95569,110720,115050,132520,131310,132420,137350,131760,,A,108070,109690,112960,114690,129720,172410,194240,211840,215440,234390,198190,213420,,A,118220,114900,126790,132030,153150,193040,281820,306030,312730,308230,303940,325910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,81387,79128,81528,87976,82638,102090,109500,124360,128980,129670,127820,132100,,B,110850,111480,120650,122640,139940,160570,189220,216500,220020,212720,198760,193570,,B,120250,118410,125610,133830,159810,197690,258430,315880,305390,308750,303750,336240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,78503,76698,85069,79521,80984,87037,104240,110210,118200,120800,117140,112320,,C,109950,109910,122400,122330,124790,148380,183130,194940,197870,200790,188540,186700,,C,122010,112070,118720,119750,138000,180210,233920,276660,276060,294180,316290,328490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,85160,86805,85160,85190,82930,93478,98054,114220,122510,119310,126700,124850,,D,109850,112390,110940,121860,138220,153400,189000,195690,201140,208880,187460,197580,,D,113240,116270,125520,129290,149600,193430,243990,291850,283750,286860,314390,294770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,357,82002,91025,89601,86563,84746,99237,96286,90802,96822,91792,92933,,E,651,118700,118750,123590,131810,142770,162100,195080,191570,188900,182350,195300,,E,866,117490,129720,134060,133920,171600,216900,262020,243870,244560,267970,261610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,427,81528,85544,91449,91338,90308,95155,102920,98115,92105,94367,91469,,F,691,121600,118600,132470,145090,153540,176050,192280,197290,201560,190330,185850,,F,666,116800,123140,134940,139280,180440,213570,234640,236350,247730,264050,266820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,307,75045,80530,90671,82860,80499,91257,88985,91661,89005,83324,79844,,G,531,108060,111920,134210,123980,124010,126300,135430,136770,138680,124790,133490,,G,595,115400,120530,133730,143030,152520,168670,191570,199210,191210,194400,197750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,327,85957,90469,95640,83142,90146,88480,89137,92297,90621,83243,88703,,H,421,119330,127840,124680,123110,126700,128750,125030,124500,131840,132700,129900,,H,555,123810,128750,136370,136140,145920,167860,192270,199860,193200,203810,187780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,354.5,,,,,,,,,,,,,Background,573.5,,,,,,,,,,,,,Background,670.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw data - background,,,,,,,,,,,,,Average,raw data - background,,,,,,,,,,,,,Average,raw data - background,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12,,<>,1,2,3,4,5,6,7,8,9,10,11,12,,<>,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,81375.5,80911.5,81224.5,84624.5,95214.5,110365.5,114695.5,132165.5,130955.5,132065.5,136995.5,131405.5,,A,107496.5,109116.5,112386.5,114116.5,129146.5,171836.5,193666.5,211266.5,214866.5,233816.5,197616.5,212846.5,,A,117549.5,114229.5,126119.5,131359.5,152479.5,192369.5,281149.5,305359.5,312059.5,307559.5,303269.5,325239.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
