Date of measurement: 2018-05-04/Time of measurement: 10:22:48,,,,,,,,,,,,,,Date of measurement: 2018-05-05/Time of measurement: 10:21:06,,,,,,,,,,,,,,Date of measurement: 2018-05-06/Time of measurement: 11:54:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lumi-04052018-004.wsp,,,,,,,,,,,,,,lumi-05052018-005.wsp,,,,,,,,,,,,,,lumi-06052018-005.wsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARK,,,,,,,,,,,,,,SPARK,,,,,,,,,,,,,,SPARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument serial number: 1704001940,,,,,,,,,,,,,,Instrument serial number: 1704001940,,,,,,,,,,,,,,Instrument serial number: 1704001940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name: COR96fw clear bottom,,,,,,,,,,,,,,Name: COR96fw clear bottom,,,,,,,,,,,,,,Name: COR96fw clear bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate layout:,,,,,,,,,,,,,,Plate layout:,,,,,,,,,,,,,,Plate layout:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate area: A1-H12,,,,,,,,,,,,,,Plate area: A1-H12,,,,,,,,,,,,,,Plate area: A1-H12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Luminescence,,,,,,,,,,,,,,    Luminescence,,,,,,,,,,,,,,    Luminescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Name: Label 1,,,,,,,,,,,,,,    Name: Label 1,,,,,,,,,,,,,,    Name: Label 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Mode: Luminescence,,,,,,,,,,,,,,    Mode: Luminescence,,,,,,,,,,,,,,    Mode: Luminescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Attenuation: Automatic,,,,,,,,,,,,,,    Attenuation: Automatic,,,,,,,,,,,,,,    Attenuation: Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Settle time: 0 ms,,,,,,,,,,,,,,    Settle time: 0 ms,,,,,,,,,,,,,,    Settle time: 0 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    IntegrationTime: 100 ms,,,,,,,,,,,,,,    IntegrationTime: 100 ms,,,,,,,,,,,,,,    IntegrationTime: 100 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Output: Counts / s,,,,,,,,,,,,,,    Output: Counts / s,,,,,,,,,,,,,,    Output: Counts / s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Mode: Move plate,,,,,,,,,,,,,,    Mode: Move plate,,,,,,,,,,,,,,    Mode: Move plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Movement: Out,,,,,,,,,,,,,,    Movement: Out,,,,,,,,,,,,,,    Movement: Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meas. temperature: Raw data: 26.0 °C,,,,,,,,,,,,,,Meas. temperature: Raw data: 26.7 °C,,,,,,,,,,,,,,Meas. temperature: Raw data: 25.8 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: 2018-05-04, Time: 10:22:48",,,,,,,,,,,,,,"Date: 2018-05-05, Time: 10:21:06",,,,,,,,,,,,,,"Date: 2018-05-06, Time: 11:54:27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map for plate 5-7 (Dacomitinib titration with or without constent dose of Osimertinib),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plate 5-7: seed 3K cells/well; start drug treatment next day; CTG read at 1, 2, and 3 day after drug treatment: read plate 5 on day 1 (24h after drug treatment); read plate 6 on day 2 (48h after drug treatment); read plate 7 on day 3 (72h after drug treatment) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daco nM,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,no Osi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,no Osi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,with 6 nM Osi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
