Result illustration (selected data),,,,,,,,,,,
,,,,,,,,,,,
PC9 Osi titration,,,PC9 Daco titration,,,PC9-DRH Osi titration,,,PC9-DRH Daco titration,,
Treatment ,cell#,,Treatment,cell#,,Treatment,cell#,,Treatment,cell#,
4.1 nM Osi,9138,,0.3 nM Daco,10589,,37 nM Osi,5185,,83 nM Daco,8890,
4.1 nM Osi,8818,,0.3 nM Daco,9679,,37 nM Osi,5155,,83 nM Daco,8795,
Osi+ 0.25 nM Daco,5750,,Daco+ 2.5 nM Osi,6278,,Osi+ 4 nM Daco,5174,,Daco+ 6 nM Osi,8915,
Osi+ 0.25 nM Daco,6289,,Daco+ 2.5 nM Osi,6194,,Osi+ 4 nM Daco,5173,,Daco+ 6 nM Osi,9130,
Osi+ 0.5 nM Daco,3659,,Daco+ 5 nM Osi,4435,,Osi+ 10 nM Daco,5153,,Daco+ 160 nM Osi,2059,
Osi+ 0.5 nM Daco,3801,,Daco+ 5 nM Osi,4449,,Osi+ 10 nM Daco,4943,,Daco+ 160 nM Osi,2058,
Osi+ 1 nM Daco,3072,,Daco+ 10 nM Osi,3568,,Osi+ 250 nM Daco,5690,,Daco+ 1000 nM Osi,1448,
Osi+ 1 nM Daco,3097,,Daco+ 10 nM Osi,3340,,Osi+ 250 nM Daco,5394,,Daco+ 1000 nM Osi,1464,
Vehicle,12960,,Vehicle,12380,,Vehicle,12960,,Vehicle,8440,
Vehicle,12389,,Vehicle,12624,,Vehicle,12389,,Vehicle,8275,
0.25 nM Daco,9589,,2.5 nM Osi,8882,,4 nM Daco,9589,,6 nM Osi,8627,
0.25 nM Daco,10743,,2.5 nM Osi,9092,,4 nM Daco,10743,,6 nM Osi,8945,
,,,,,,,,,160 nM Osi,1888,
,,,,,,,,,160 nM Osi,1990,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
